Timestamp,Price,Volume
1504934340,4413.23,1.56
1504934400,4413.22,2.25
1504934460,4413.02,1.44
1504934520,4413.01,1.39
1504934580,4410,2.81
1504934640,4410.01,6.61
1504934700,4392.65,15.08
1504934760,4401,3.25
1504934820,4408.59,7.02
1504934880,4413.2,3.19
1504934940,4414.9,10.21
1504935000,4414.9,1.8
1504935060,4414.89,3.24
1504935120,4405,4.2
1504935180,4405.01,0.37
1504935240,4405.01,2.08
1504935300,4408.77,10.39
1504935360,4411.62,17.13
1504935420,4411.62,2.55
1504935480,4414.9,2.87
1504935540,4414.89,3.2
1504935600,4414.9,1.07
1504935660,4414.9,4.2
1504935720,4414.9,5.68
1504935780,4414.91,5.36
1504935840,4414.91,10.59
1504935900,4419.9,24.32
1504935960,4422,15.44
1504936020,4424.99,8.48
1504936080,4424.99,1.47
1504936140,4424.99,1.03
1504936200,4424.99,7.34
1504936260,4425,12.3
1504936320,4425.01,11.9
1504936380,4436.69,18.54
1504936440,4436.69,2.01
1504936500,4437.13,9.09
1504936560,4437.13,4.12
1504936620,4437.13,1.82
1504936680,4437.13,2.72
1504936740,4437.13,1.52
1504936800,4437.12,2.74
1504936860,4434.52,10.53
1504936920,4425.5,19.5
1504936980,4425.51,9.19
1504937040,4420.96,5.92
1504937100,4420.96,6.14
1504937160,4420.97,1.87
1504937220,4420.97,2.37
1504937280,4425,0.35
1504937340,4425.09,1.05
1504937400,4425.09,5.69
1504937460,4425.09,0.48
1504937520,4425.09,0.7
1504937580,4425.09,1.37
1504937640,4425.09,0.54
1504937700,4425.09,1.36
1504937760,4425.08,12.9
1504937820,4425.09,1.67
1504937880,4425.06,1.88
1504937940,4425.06,0.92
1504938000,4425.06,0.83
1504938060,4425.06,2.91
1504938120,4425.06,0.67
1504938180,4425.05,4.35
1504938240,4425.06,1.32
1504938300,4425.06,3.57
1504938360,4425.07,4.73
1504938420,4425.07,3.31
1504938480,4425.1,6.75
1504938540,4425.07,8.92
1504938600,4425.07,2.04
1504938660,4425.07,3.33
1504938720,4425.07,3.02
1504938780,4429.97,9.82
1504938840,4430.99,15.25
1504938900,4430.99,4.69
1504938960,4430.91,2.66
1504939020,4430.91,4.08
1504939080,4435.99,10.29
1504939140,4436,1.67
1504939200,4436,1.02
1504939260,4436,4.57
1504939320,4436.94,5.27
1504939380,4436.99,1.97
1504939440,4437,1.95
1504939500,4437,0.93
1504939560,4437.13,2.6
1504939620,4437.13,2.97
1504939680,4437.13,1.46
1504939740,4437.13,0.77
1504939800,4437.13,0.47
1504939860,4437.13,2.29
1504939920,4437.13,1.31
1504939980,4437.13,0.44
1504940040,4435.01,2.48
1504940100,4437.12,0.92
1504940160,4437.1,1.68
1504940220,4435.93,2.47
1504940280,4435.05,1.28
1504940340,4431.47,5.17
1504940400,4435.65,0.71
1504940460,4436,1.98
1504940520,4436.99,10.9
1504940580,4442.99,17
1504940640,4443.12,3.07
1504940700,4444.06,9.53
1504940760,4444.07,1.16
1504940820,4444.07,0.66
1504940880,4444.06,3.89
1504940940,4444.07,6
1504941000,4444.1,4.87
1504941060,4444.1,4.51
1504941120,4444.1,0.36
1504941180,4444.1,2.4
1504941240,4444.1,2.46
1504941300,4444.1,3.34
1504941360,4444.1,1.96
1504941420,4444.1,2.59
1504941480,4444.07,0.88
1504941540,4440.01,2.13
1504941600,4440.01,5.08
1504941660,4440.01,9.06
1504941720,4440.01,0.15
1504941780,4440,2.3
1504941840,4438.44,1.12
1504941900,4438.44,0.76
1504941960,4438.44,0.63
1504942020,4430.01,2.3
1504942080,4430.04,0.7
1504942140,4430.04,2.03
1504942200,4430.02,1.49
1504942260,4430.01,0.67
1504942320,4430.01,0.4
1504942380,4409.31,15.47
1504942440,4404.36,3.2
1504942500,4409.94,0.69
1504942560,4409.94,0.52
1504942620,4409.94,1.62
1504942680,4400.02,3.94
1504942740,4385.83,17.94
1504942800,4385.1,0.86
1504942860,4382.37,20.37
1504942920,4390.34,7.73
1504942980,4390.35,1.29
1504943040,4390.34,1.77
1504943100,4390.27,56.46
1504943160,4390.27,9.69
1504943220,4390.26,1.41
1504943280,4390.27,4.78
1504943340,4390.35,2.22
1504943400,4394,0.95
1504943460,4394,1.93
1504943520,4394,2.3
1504943580,4399,1.66
1504943640,4399,1.28
1504943700,4399,0.68
1504943760,4399,1.06
1504943820,4399,2.81
1504943880,4399,2.13
1504943940,4399,2.61
1504944000,4399,3.9
1504944060,4399,2.93
1504944120,4399,0.64
1504944180,4399,1.14
1504944240,4399,7.82
1504944300,4404,4.77
1504944360,4403.99,0.98
1504944420,4413.79,5.2
1504944480,4413.1,1.08
1504944540,4413.11,0.07
1504944600,4413.11,5.21
1504944660,4413.1,1.66
1504944720,4410.03,2.01
1504944780,4411.79,0.43
1504944840,4411.68,0.41
1504944900,4411.65,0.37
1504944960,4411.6,2.33
1504945020,4411.68,4.31
1504945080,4411.68,1.36
1504945140,4411.69,1.59
1504945200,4411.68,0.97
1504945260,4411.69,0.43
1504945320,4411.69,0.88
1504945380,4411.69,1.34
1504945440,4411.69,0.31
1504945500,4411.69,0.38
1504945560,4411.69,1.95
1504945620,4411.69,0.77
1504945680,4411.69,0.54
1504945740,4411.68,5.33
1504945800,4411.51,1.08
1504945860,4411.51,2.92
1504945920,4411.51,1.73
1504945980,4411.51,0.12
1504946040,4411.51,0.32
1504946100,4404,1.32
1504946160,4404,1.27
1504946220,4404,0.52
1504946280,4402.96,5.71
1504946340,4402.96,0.09
1504946400,4401.54,8.21
1504946460,4400.32,2.15
1504946520,4398.91,5.2
1504946580,4396.25,7.86
1504946640,4394,1.44
1504946700,4394.98,1.93
1504946760,4397.12,3.58
1504946820,4400.79,4.38
1504946880,4397.15,3.73
1504946940,4394.41,7.02
1504947000,4393.99,2.16
1504947060,4394,1.7
1504947120,4394,1.1
1504947180,4387.03,3.24
1504947240,4382.53,9.7
1504947300,4378.73,0.66
1504947360,4371.35,5.46
1504947420,4371.98,10.79
1504947480,4371.98,4.79
1504947540,4371.98,5.08
1504947600,4371.98,3.58
1504947660,4371.98,5.43
1504947720,4371.98,5.15
1504947780,4371.98,1.88
1504947840,4372,2.77
1504947900,4378.27,5.75
1504947960,4378.88,9.93
1504948020,4386.64,46.26
1504948080,4389.28,15.72
1504948140,4400,2.22
1504948200,4400,0.48
1504948260,4400,1.21
1504948320,4400,2.19
1504948380,4400,0.58
1504948440,4399.83,1.04
1504948500,4397.08,2.01
1504948560,4389.57,23.65
1504948620,4386.43,1.96
1504948680,4383.62,4.8
1504948740,4382.19,2.66
1504948800,4382.48,5.81
1504948860,4389.87,1.57
1504948920,4389.87,0.43
1504948980,4389.87,0.5
1504949040,4389.87,0.23
1504949100,4389.87,0.24
1504949160,4389.87,1.24
1504949220,4389.87,1.19
1504949280,4389.87,0.22
1504949340,4389.87,0.67
1504949400,4389.87,4.91
1504949460,4389.82,18.31
1504949520,4387.47,10.11
1504949580,4387.46,2.69
1504949640,4387.45,7.45
1504949700,4387.45,2.61
1504949760,4387.45,7.03
1504949820,4387.55,10.79
1504949880,4387.55,8.77
1504949940,4387.55,3.05
1504950000,4387.55,2.17
1504950060,4399,6.22
1504950120,4399,1.04
1504950180,4399,1.2
1504950240,4399,1.35
1504950300,4392.21,2.22
1504950360,4398.96,0.95
1504950420,4398.95,1.24
1504950480,4398.95,0.9
1504950540,4399,5.64
1504950600,4399,0.1
1504950660,4399,0.93
1504950720,4407.71,10.79
1504950780,4407.9,3.8
1504950840,4407.9,6.07
1504950900,4407.9,2.34
1504950960,4407.9,1.74
1504951020,4407.9,0.9
1504951080,4409,0.51
1504951140,4415.48,1.14
1504951200,4417.35,4.84
1504951260,4419,2.09
1504951320,4419,0.25
1504951380,4419,0.22
1504951440,4419,0.21
1504951500,4419,0.19
1504951560,4418.98,1.59
1504951620,4412.7,3.32
1504951680,4417.15,0.84
1504951740,4417.29,0.25
1504951800,4418.89,0.31
1504951860,4417,3.06
1504951920,4417.14,0.04
1504951980,4417.14,0.76
1504952040,4417.14,1.86
1504952100,4416.08,1.54
1504952160,4417,1.05
1504952220,4409.86,6.36
1504952280,4404.49,0.66
1504952340,4403.01,0.46
1504952400,4401.44,2.71
1504952460,4401.81,0.2
1504952520,4401.81,0.3
1504952580,4398.95,1.41
1504952640,4405,0.31
1504952700,4401.6,0.51
1504952760,4404.05,1.19
1504952820,4398.88,1.59
1504952880,4401.16,3.66
1504952940,4395.02,1.83
1504953000,4395.33,5.54
1504953060,4395.07,0.69
1504953120,4395.07,0.19
1504953180,4395.08,0.33
1504953240,4396.05,5.19
1504953300,4396.05,0.58
1504953360,4396.05,0.12
1504953420,4396.05,3.24
1504953480,4396.05,0.16
1504953540,4396.05,0.12
1504953600,4396.05,0.54
1504953660,4396.05,0.27
1504953720,4406.18,5.17
1504953780,4404.76,1.2
1504953840,4404.76,0.72
1504953900,4404.75,2.68
1504953960,4404.76,1.89
1504954020,4404.76,1.22
1504954080,4404.76,0.43
1504954140,4404.76,1.3
1504954200,4398.3,5.46
1504954260,4398.31,1.08
1504954320,4398.31,0.09
1504954380,4398.31,0.29
1504954440,4398.31,0.62
1504954500,4395.54,0.63
1504954560,4395,1.32
1504954620,4395,1.39
1504954680,4395.01,0.45
1504954740,4390.1,3.52
1504954800,4390.01,0.56
1504954860,4390.01,1.58
1504954920,4390.01,1.79
1504954980,4390.01,0.38
1504955040,4390.01,0.48
1504955100,4390.01,1.32
1504955160,4390.01,4.52
1504955220,4394.26,3.07
1504955280,4394.26,2.13
1504955340,4385,4.68
1504955400,4382.07,15.48
1504955460,4382.07,0.8
1504955520,4382.07,8.11
1504955580,4382.07,9.18
1504955640,4382.14,9.86
1504955700,4384.79,21.58
1504955760,4384.85,12.39
1504955820,4387,2.73
1504955880,4384.93,5.86
1504955940,4384.86,1.79
1504956000,4381.02,1.14
1504956060,4377.35,11.07
1504956120,4371.02,6.41
1504956180,4376.26,7.06
1504956240,4379,6.18
1504956300,4382.04,0.96
1504956360,4390.73,3.39
1504956420,4385.05,0.64
1504956480,4395,0.83
1504956540,4390.97,2.26
1504956600,4395.01,3.32
1504956660,4391.15,3.91
1504956720,4391.09,3.46
1504956780,4390.99,0.08
1504956840,4387.96,12.17
1504956900,4387.28,3.1
1504956960,4382.07,5.37
1504957020,4382.05,4.09
1504957080,4382.04,0.93
1504957140,4380.85,1.98
1504957200,4378.83,12.51
1504957260,4370.3,21.77
1504957320,4378.11,2.02
1504957380,4372.94,3.73
1504957440,4372.95,7.6
1504957500,4376.49,4.06
1504957560,4367.78,17.21
1504957620,4367.78,15.21
1504957680,4367.78,10.75
1504957740,4366.9,24.93
1504957800,4368.41,28.65
1504957860,4380.39,11.37
1504957920,4377.27,5.25
1504957980,4388.99,7.2
1504958040,4384.31,2.18
1504958100,4377.36,0.24
1504958160,4377.01,1.92
1504958220,4377,0.94
1504958280,4377.01,0.22
1504958340,4377.01,0.49
1504958400,4377.02,22.84
1504958460,4377.02,6.32
1504958520,4376,9.88
1504958580,4375.2,3.51
1504958640,4375,1.29
1504958700,4375.86,0.85
1504958760,4380.39,3.65
1504958820,4389,3.65
1504958880,4389.47,3.99
1504958940,4389.49,2.29
1504959000,4386.22,6.93
1504959060,4389.75,9.79
1504959120,4380.09,1.55
1504959180,4380.09,1.12
1504959240,4377.9,2.67
1504959300,4376.21,0.82
1504959360,4376.01,2
1504959420,4370.05,7.96
1504959480,4370.01,0.66
1504959540,4366.73,9.31
1504959600,4360.01,14.13
1504959660,4360.01,3.12
1504959720,4360.01,0.28
1504959780,4364.98,5.08
1504959840,4368.99,2.07
1504959900,4366.57,0.2
1504959960,4368.99,2.53
1504960020,4366.57,0.98
1504960080,4366.57,0.89
1504960140,4366.57,2.49
1504960200,4363.53,5.6
1504960260,4363.53,0.32
1504960320,4363.53,4.86
1504960380,4363.54,3.79
1504960440,4363.54,6.25
1504960500,4363.54,1.79
1504960560,4363.54,1.48
1504960620,4363.54,4.59
1504960680,4362.44,6.16
1504960740,4359.23,17.69
1504960800,4359.24,2.93
1504960860,4359.24,2.27
1504960920,4359.24,2.93
1504960980,4359.24,1.87
1504961040,4357.61,1.83
1504961100,4357.61,6.35
1504961160,4357.61,0.65
1504961220,4357.61,1.11
1504961280,4357.61,0.73
1504961340,4357.62,1.2
1504961400,4357.62,9.86
1504961460,4357.63,2.22
1504961520,4357.63,3.2
1504961580,4357.68,3.37
1504961640,4358.77,2.2
1504961700,4358.78,3.38
1504961760,4358.84,3.16
1504961820,4358.86,3.17
1504961880,4358.91,4.49
1504961940,4358.95,2.91
1504962000,4358.96,8.84
1504962060,4358.96,1.26
1504962120,4358.96,1.15
1504962180,4358.91,9.5
1504962240,4350.01,27.86
1504962300,4344.79,7.04
1504962360,4346.25,23.24
1504962420,4346.33,29.25
1504962480,4345.69,9.05
1504962540,4344.27,9.04
1504962600,4344.47,6.55
1504962660,4350.04,2.59
1504962720,4350.06,1.85
1504962780,4350.17,3.22
1504962840,4350.08,6.69
1504962900,4350.08,5.56
1504962960,4350.07,1.85
1504963020,4344.45,7.67
1504963080,4340.71,8.49
1504963140,4330,13.2
1504963200,4317.93,26.01
1504963260,4318,9.47
1504963320,4325.99,4.46
1504963380,4319.01,1.34
1504963440,4316.01,7.02
1504963500,4316.21,7.42
1504963560,4319.06,9.06
1504963620,4316.2,5.9
1504963680,4316.03,3.32
1504963740,4310.75,6.85
1504963800,4311.04,8.09
1504963860,4310.75,14.48
1504963920,4310.21,5.2
1504963980,4300.02,19.61
1504964040,4295.47,22.26
1504964100,4300.87,10.07
1504964160,4296.76,21.06
1504964220,4302.44,8.03
1504964280,4304.58,8.73
1504964340,4308.55,1.8
1504964400,4314.64,4.91
1504964460,4314.61,12.09
1504964520,4314.61,2.47
1504964580,4315.01,2.43
1504964640,4315.06,3.42
1504964700,4315.49,2.97
1504964760,4316.33,3.7
1504964820,4320.63,5.44
1504964880,4321.01,2.36
1504964940,4321.01,3.29
1504965000,4321.16,6.02
1504965060,4321,16.2
1504965120,4314.6,18.09
1504965180,4314.61,3.36
1504965240,4314.61,0.22
1504965300,4306.09,7.5
1504965360,4306.02,3.8
1504965420,4307.68,1.35
1504965480,4307.87,3.37
1504965540,4306.47,1.13
1504965600,4307.9,6.2
1504965660,4307.9,0.43
1504965720,4310.84,5.09
1504965780,4311.37,1.81
1504965840,4311.95,5.44
1504965900,4311.42,9.78
1504965960,4311.09,5.49
1504966020,4311.5,2.37
1504966080,4307.9,11.76
1504966140,4309.3,10.85
1504966200,4307.4,6.18
1504966260,4307.41,0.34
1504966320,4307.41,1.07
1504966380,4307.4,1.53
1504966440,4306.01,10.71
1504966500,4301.01,31.62
1504966560,4295.73,11.23
1504966620,4295.54,4.67
1504966680,4292.01,18.9
1504966740,4285,33.77
1504966800,4285.01,6.92
1504966860,4281.61,25.68
1504966920,4280.74,12.46
1504966980,4276.02,9.29
1504967040,4278,24.29
1504967100,4278.15,3.2
1504967160,4278.01,13.51
1504967220,4278.04,5.9
1504967280,4275.84,14.98
1504967340,4271.03,21.03
1504967400,4271.34,32.74
1504967460,4274,9.59
1504967520,4273.7,17.07
1504967580,4275.36,11.28
1504967640,4271.24,19.63
1504967700,4274,6.78
1504967760,4274,6.22
1504967820,4277,4.82
1504967880,4277,5.69
